date,ticker,open,high,low,close,adj_close,volume
2006-01-03,SPY,125.19000244140625,127.0,124.38999938964844,126.69999694824219,86.78543853759766,73256700
2006-01-04,SPY,126.86000061035156,127.48999786376953,126.69999694824219,127.30000305175781,87.19640350341797,51899600
2006-01-05,SPY,127.1500015258789,127.58999633789062,126.87999725341797,127.37999725341797,87.25120544433594,47307500
2006-01-06,SPY,128.02000427246094,128.5800018310547,127.36000061035156,128.44000244140625,87.97727966308594,62885900
2006-01-09,SPY,128.4199981689453,129.05999755859375,128.3800048828125,128.77000427246094,88.20330047607422,43527400
2006-01-10,SPY,128.38999938964844,128.97999572753906,128.25999450683594,128.89999389648438,88.29235076904297,44960800
2006-01-11,SPY,129.02000427246094,129.44000244140625,128.72999572753906,129.30999755859375,88.57317352294922,49598900
2006-01-12,SPY,129.0800018310547,129.27999877929688,128.44000244140625,128.8000030517578,88.2238540649414,40509200
2006-01-13,SPY,128.57000732421875,128.89999389648438,128.1999969482422,128.67999267578125,88.1416244506836,44856700
2006-01-17,SPY,128.1999969482422,128.4199981689453,127.80999755859375,128.3300018310547,87.90192413330078,52066600
2006-01-18,SPY,127.58000183105469,128.89999389648438,127.16000366210938,127.81999969482422,87.5526123046875,75067600
2006-01-19,SPY,128.1300048828125,128.77000427246094,127.80999755859375,128.30999755859375,87.88819885253906,81530400
2006-01-20,SPY,128.27999877929688,128.30999755859375,125.97000122070312,125.97000122070312,86.2854232788086,114957800
2006-01-23,SPY,126.20999908447266,126.81999969482422,126.12999725341797,126.41999816894531,86.5936050415039,67017400
2006-01-24,SPY,126.62999725341797,127.1500015258789,126.41999816894531,126.55000305175781,86.68268585205078,53008800
2006-01-25,SPY,127.04000091552734,127.18000030517578,125.83999633789062,126.66000366210938,86.75804901123047,87747700
2006-01-26,SPY,127.25,127.66999816894531,126.76000213623047,127.36000061035156,87.23751068115234,71294000
2006-01-27,SPY,127.66000366210938,128.66000366210938,127.44999694824219,128.5399932861328,88.0457534790039,65771200
2006-01-30,SPY,128.44000244140625,128.80999755859375,128.35000610351562,128.44000244140625,87.97727966308594,33709600
2006-01-31,SPY,128.32000732421875,128.5399932861328,127.48999786376953,127.5,87.33341217041016,72937000
2006-02-01,SPY,127.81999969482422,128.42999267578125,127.72000122070312,128.38999938964844,87.94300079345703,63561000
2006-02-02,SPY,128.10000610351562,128.13999938964844,126.80000305175781,126.9000015258789,86.92241668701172,83626900
2006-02-03,SPY,126.58000183105469,128.38999938964844,126.13999938964844,126.2699966430664,86.49087524414062,86040400
2006-02-06,SPY,126.44000244140625,126.80000305175781,126.16999816894531,126.5999984741211,86.7168960571289,45511900
2006-02-07,SPY,126.37999725341797,126.66000366210938,125.4000015258789,125.4800033569336,85.94974517822266,71208100
2006-02-08,SPY,125.8499984741211,128.10000610351562,125.5999984741211,126.62000274658203,86.73063659667969,59422200
2006-02-09,SPY,126.91999816894531,127.5999984741211,126.37000274658203,126.41000366210938,86.58676147460938,62023300
2006-02-10,SPY,126.43000030517578,127.12999725341797,125.44999694824219,126.63999938964844,86.74433135986328,64508700
2006-02-13,SPY,126.5999984741211,126.79000091552734,125.94999694824219,126.41000366210938,86.58676147460938,52308700
2006-02-14,SPY,126.45999908447266,128.02999877929688,126.20999908447266,127.75,87.5046615600586,90964400
2006-02-15,SPY,127.68000030517578,128.32000732421875,127.23999786376953,128.1999969482422,87.8128433227539,85471300
2006-02-16,SPY,128.33999633789062,129.2100067138672,128.17999267578125,129.16000366210938,88.47045135498047,61017900
2006-02-17,SPY,129.0500030517578,129.16000366210938,128.5800018310547,128.80999755859375,88.23070526123047,40342600
2006-02-21,SPY,129.11000061035156,129.39999389648438,128.2899932861328,128.49000549316406,88.01150512695312,46456300
2006-02-22,SPY,128.77000427246094,129.64999389648438,128.64999389648438,129.27000427246094,88.5457992553711,42326700
2006-02-23,SPY,129.27000427246094,129.63999938964844,128.27999877929688,129.0800018310547,88.41565704345703,43423200
2006-02-24,SPY,129.11000061035156,129.47999572753906,128.75999450683594,129.41000366210938,88.64164733886719,36777400
2006-02-27,SPY,129.39999389648438,130.0399932861328,129.27999877929688,129.4600067138672,88.67591094970703,35858600
2006-02-28,SPY,129.1999969482422,129.91000366210938,128.1300048828125,128.22999572753906,87.83338928222656,74394800
2006-03-01,SPY,128.60000610351562,129.49000549316406,128.5,129.3699951171875,88.6142578125,48641600
2006-03-02,SPY,128.89999389648438,129.4199981689453,128.61000061035156,129.36000061035156,88.60742950439453,60642300
2006-03-03,SPY,128.6699981689453,130.07000732421875,128.64999389648438,128.75999450683594,88.1964340209961,73402500
2006-03-06,SPY,129.13999938964844,129.17999267578125,127.8499984741211,128.1699981689453,87.79232025146484,57478400
2006-03-07,SPY,127.86000061035156,128.05999755859375,127.4000015258789,127.97000122070312,87.65534210205078,61780800
2006-03-08,SPY,127.69999694824219,128.44000244140625,127.18000030517578,128.24000549316406,87.84028625488281,66692400
2006-03-09,SPY,128.27999877929688,128.67999267578125,127.37999725341797,127.37999725341797,87.25120544433594,56313600
2006-03-10,SPY,127.70999908447266,128.83999633789062,127.44000244140625,128.58999633789062,88.08001708984375,60490800
2006-03-13,SPY,128.83999633789062,129.16000366210938,128.52999877929688,128.8300018310547,88.24439239501953,45479100
2006-03-14,SPY,128.7100067138672,130.22999572753906,128.61000061035156,130.17999267578125,89.16909790039062,69877300
2006-03-15,SPY,130.14999389648438,130.86000061035156,129.85000610351562,130.75999450683594,89.56639099121094,53398900
2006-03-16,SPY,131.00999450683594,131.47000122070312,130.83999633789062,131.02999877929688,89.7513198852539,65526400
2006-03-17,SPY,130.67999267578125,130.89999389648438,130.3800048828125,130.6199951171875,89.8262939453125,47286800
2006-03-20,SPY,130.63999938964844,130.89999389648438,130.2100067138672,130.41000366210938,89.6818618774414,45538500
2006-03-21,SPY,130.3699951171875,130.99000549316406,129.4499969482422,129.58999633789062,89.11795043945312,87102700
2006-03-22,SPY,129.50999450683594,130.50999450683594,129.4499969482422,130.3800048828125,89.6612548828125,51605700
2006-03-23,SPY,130.25999450683594,130.38999938964844,129.66000366210938,130.11000061035156,89.47553253173828,46704200
