feature,horizon,mean_ic,std_ic,ic_ir,t_stat_overlap_adjusted,p_value,hit_rate,ts_ic_mean,ts_ic_share_positive,n_obs,n_independent,median_ic,t_stat_naive,ic_skew,breadth_per_year,implied_information_ratio,n_assets_evaluated
ranked_252,1,0.045846,0.483453,0.094830,4.512131,0.000006,0.536661,0.016055,0.533333,2264,2264.000000,0.057143,4.512131,-0.140562,3780.000000,2.818664,15
ranked_252,5,0.072323,0.483852,0.149474,3.180664,0.001469,0.568021,0.026778,0.666667,2264,452.800000,0.107418,7.112180,-0.223338,756.000000,1.988556,15
ranked_252,10,0.087167,0.480539,0.181395,2.729379,0.006345,0.587014,0.031822,0.533333,2264,226.400000,0.133104,8.631056,-0.251808,378.000000,1.694728,15
ranked_252,21,0.102828,0.491476,0.209223,2.172396,0.029826,0.591431,0.033120,0.466667,2264,107.809524,0.148352,9.955168,-0.258339,180.000000,1.379588,15
ranked_252,42,0.086707,0.480765,0.180351,1.324137,0.185457,0.576855,0.020146,0.466667,2264,53.904762,0.132143,8.581391,-0.205090,90.000000,0.822571,15
ranked_252,63,0.084202,0.478633,0.175921,1.054594,0.291611,0.578180,0.006827,0.400000,2264,35.936508,0.121429,8.370583,-0.250346,60.000000,0.652222,15
ranked_63,1,0.026231,0.470197,0.055787,2.761314,0.005757,0.529388,0.005193,0.733333,2450,2450.000000,0.046429,2.761314,-0.095251,3780.000000,1.612719,15
ranked_63,5,0.038457,0.471387,0.081582,1.805892,0.070935,0.530612,0.010769,0.533333,2450,490.000000,0.050000,4.038097,-0.073823,756.000000,1.057383,15
ranked_63,10,0.040975,0.464156,0.088277,1.381761,0.167045,0.535918,0.023737,0.666667,2450,245.000000,0.054945,4.369513,-0.085392,378.000000,0.796636,15
ranked_63,21,0.059763,0.470636,0.126984,1.371582,0.170194,0.571837,0.033526,0.666667,2450,116.666667,0.103984,6.285379,-0.216300,180.000000,0.801806,15
ranked_63,42,0.048131,0.456822,0.105360,0.804698,0.420994,0.541633,0.038385,0.666667,2450,58.333333,0.057143,5.215040,-0.137952,90.000000,0.456607,15
ranked_63,63,0.058663,0.469573,0.124929,0.779067,0.435940,0.548163,0.045543,0.800000,2450,38.888889,0.071429,6.183652,-0.141598,60.000000,0.454402,15
raw_126,1,0.033808,0.478062,0.070720,3.457323,0.000546,0.527197,0.010376,0.666667,2390,2390.000000,0.050000,3.457323,-0.110865,3780.000000,2.078603,15
raw_126,5,0.046906,0.477794,0.098171,2.146340,0.031846,0.546862,0.006321,0.466667,2390,478.000000,0.060714,4.799362,-0.155770,756.000000,1.289692,15
raw_126,10,0.043622,0.472042,0.092411,1.428640,0.153108,0.548117,0.000625,0.400000,2390,239.000000,0.075000,4.517758,-0.140979,378.000000,0.848107,15
raw_126,21,0.062215,0.468585,0.132771,1.416425,0.156651,0.569874,0.005534,0.533333,2390,113.809524,0.117857,6.490873,-0.222976,180.000000,0.834696,15
raw_126,42,0.049469,0.455646,0.108570,0.819001,0.412786,0.555649,0.012467,0.600000,2390,56.904762,0.078571,5.307730,-0.159370,90.000000,0.469309,15
raw_126,63,0.033196,0.442539,0.075013,0.462027,0.644062,0.544351,0.000965,0.600000,2390,37.936508,0.053571,3.667229,-0.092120,60.000000,0.257138,15
raw_21,1,0.009290,0.477042,0.019474,0.963932,0.335080,0.511837,-0.007099,0.333333,2450,2450.000000,0.020604,0.963932,-0.094781,3780.000000,0.571170,15
raw_21,5,0.011471,0.470535,0.024379,0.539660,0.589432,0.522449,-0.014709,0.133333,2450,490.000000,0.032143,1.206717,-0.110217,756.000000,0.315410,15
raw_21,10,0.008552,0.456892,0.018717,0.292973,0.769543,0.526531,-0.011452,0.266667,2450,245.000000,0.028571,0.926461,-0.151607,378.000000,0.166266,15
raw_21,21,0.000720,0.464868,0.001549,0.016727,0.986655,0.515102,-0.022190,0.266667,2450,116.666667,0.028571,0.076652,-0.073805,180.000000,0.009658,15
raw_21,42,-0.000947,0.472832,-0.002002,-0.015289,0.987802,0.493878,-0.004807,0.266667,2450,58.333333,-0.006319,-0.099084,0.045325,90.000000,-0.008979,15
raw_21,63,0.032080,0.461491,0.069513,0.433490,0.664659,0.520000,0.033322,0.600000,2450,38.888889,0.025000,3.440720,-0.015801,60.000000,0.248488,15
raw_252,1,0.045846,0.483453,0.094830,4.512131,0.000006,0.536661,0.008015,0.466667,2264,2264.000000,0.057143,4.512131,-0.140562,3780.000000,2.818664,15
raw_252,5,0.072323,0.483852,0.149474,3.180664,0.001469,0.568021,0.005643,0.333333,2264,452.800000,0.107418,7.112180,-0.223338,756.000000,1.988556,15
raw_252,10,0.087167,0.480539,0.181395,2.729379,0.006345,0.587014,0.006465,0.333333,2264,226.400000,0.133104,8.631056,-0.251808,378.000000,1.694728,15
raw_252,21,0.102828,0.491476,0.209223,2.172396,0.029826,0.591431,-0.002646,0.333333,2264,107.809524,0.148352,9.955168,-0.258339,180.000000,1.379588,15
raw_252,42,0.086707,0.480765,0.180351,1.324137,0.185457,0.576855,-0.023592,0.266667,2264,53.904762,0.132143,8.581391,-0.205090,90.000000,0.822571,15
