cost_bps,net_ann_return,net_vol,net_sharpe,annual_cost_drag,cost_share_of_gross
0.000000,-0.002407,0.068281,-0.035255,0.000000,
5.000000,-0.013286,0.068341,-0.194406,0.010879,
10.000000,-0.024164,0.068550,-0.352505,0.021757,
25.000000,-0.056800,0.070064,-0.810685,0.054393,
50.000000,-0.111193,0.075306,-1.476549,0.108786,
