,portfolio_vol_ann,diversification_ratio,effective_n_positions,max_risk_share,top_risk_contributor,pc1_variance_share,var_95_daily,cvar_95_daily
M0_equal_weight,0.10981075601975392,1.4973217072481881,15.000000000000037,0.3132550858788431,SLV,0.9182967641466439,0.010262065853804988,0.016851854328198135
M1_inverse_vol,0.05368807610096435,1.53975818020022,8.238158879650262,0.11530253972636491,SLV,0.7486793125412242,0.005766468283109422,0.009601595144433333
M2_risk_parity,0.05082841870659745,1.7449687545810955,8.548533309723943,0.11700002754251781,SLV,0.7514752722560056,0.005791929057238113,0.009628852859560926
M5_momentum_plus_mr,0.02085219634350218,3.705177632781054,7.121675597116098,0.5226998520881837,IWM,0.6977198696325395,0.004834814899646313,0.008275259712375785
M9_mean_cvar,0.028011883899600257,1.8199640272510225,4.557520164807392,0.39100838699157925,DBC,0.40525476974922175,0.004136196902288755,0.0067259086232633585
