horizon,n_obs,n_independent,mean_ic,median_ic,std_ic,ic_ir,t_stat_naive,t_stat_overlap_adjusted,p_value,hit_rate,ic_skew,breadth_per_year,implied_information_ratio
1,5083.000000,5083.000000,0.004085,0.007143,0.422500,0.009668,0.689314,0.689314,0.490625,0.502066,-0.032835,3780.000000,0.251148
5,5079.000000,1015.800000,0.003420,0.006593,0.425899,0.008029,0.572205,0.255898,0.798030,0.503642,-0.047170,756.000000,0.094022
10,5074.000000,507.400000,-0.003945,0.003571,0.424457,-0.009295,-0.662077,-0.209367,0.834162,0.501774,-0.041471,378.000000,-0.076703
21,5063.000000,241.095238,-0.002888,0.007143,0.424553,-0.006802,-0.484019,-0.105622,0.915883,0.505629,-0.067214,180.000000,-0.038746
42,5042.000000,120.047619,-0.005053,0.005357,0.428715,-0.011787,-0.836960,-0.129146,0.897242,0.502777,-0.060815,90.000000,-0.047939
63,5021.000000,79.698413,-0.005489,0.021429,0.423067,-0.012973,-0.919271,-0.115817,0.907797,0.516431,-0.105964,60.000000,-0.042514
