horizon,n_obs,n_independent,mean_ic,median_ic,std_ic,ic_ir,t_stat_naive,t_stat_overlap_adjusted,p_value,hit_rate,ic_skew,breadth_per_year,implied_information_ratio
1,5206.000000,5206.000000,0.041545,0.046154,0.424105,0.097958,7.067944,7.067944,0.000000,0.536304,-0.057061,3780.000000,2.554229
5,5202.000000,1040.400000,0.050503,0.060714,0.420917,0.119984,8.653848,3.870119,0.000109,0.544022,-0.096746,756.000000,1.388613
10,5197.000000,519.700000,0.044875,0.053571,0.419500,0.106973,7.711676,2.438646,0.014742,0.543775,-0.081419,378.000000,0.872469
21,5186.000000,246.952381,0.045255,0.060714,0.414368,0.109214,7.864958,1.716275,0.086112,0.542808,-0.081469,180.000000,0.607160
42,5165.000000,122.976190,0.039504,0.057143,0.419839,0.094093,6.762244,1.043437,0.296746,0.545402,-0.114306,90.000000,0.374766
63,5144.000000,81.650794,0.036280,0.050000,0.414328,0.087562,6.280129,0.791222,0.428815,0.539658,-0.099946,60.000000,0.281021
