model,development,validation,final_holdout
M0_equal_weight,0.5266933362100141,1.0664863140584322,0.7261452476752762
M1_inverse_vol,0.7977981987989674,1.2501845073118845,0.6327612054509336
M2_risk_parity,0.6682126621142094,1.1822844272598825,0.6931073799480038
M3_momentum,0.3721133396328679,0.5672680069646187,-0.16624310441179885
M4_mean_reversion,-0.3040611591550577,-0.007940742600804627,-0.3132356694371649
M5_momentum_plus_mr,0.007304240425283479,0.37385509699410124,-0.12355819576363528
M6_combined_alpha_mvo,0.3733236882622033,0.7093842523834835,0.5127672059858484
M7_combined_alpha_shrinkage_mvo,0.3678453692991456,0.6901630302504743,0.5231532437892282
M8_black_litterman,0.315258907282602,0.653518659694265,0.3535585015730392
M9_mean_cvar,0.8822917054102936,1.1002110457032124,0.4905002815738744
SPY_buy_hold,0.42665822009596344,0.9754451807487818,0.7624658239431036
