,n_parameter_sets,best,median,worst,mean,std,share_positive,best_minus_median,best_to_median_ratio,interquartile_range,verdict
momentum,24,0.30208018493268063,0.07563043810651683,-0.4100944961663352,0.05741231344864504,0.16481143744623025,0.75,0.2264497468261638,3.9941615108355606,0.1385583121260137,plateau: results are broadly similar across parameters
mean_reversion,18,0.20762461231521634,-0.15182946399823066,-0.609930860132849,-0.18152887697806347,0.2921433039340742,0.3888888888888889,0.359454076313447,-1.3674856437459062,0.48662074776172093,"spike: the best parameter is far above the median, treat as parameter mining"
