,start,end,n_obs,cagr,ann_return_arith,ann_vol,sharpe,sortino,calmar,omega,max_drawdown,max_drawdown_date,time_underwater_share,hit_rate,best_day,worst_day,skew,excess_kurtosis,var_95,cvar_95,tail_ratio,total_return,ann_turnover,ann_cost_drag,name,n_folds,folds_positive,fold_sharpe_mean,fold_sharpe_std,worst_fold_return
M0_equal_weight,2011-01-03,2026-09-21,3952,0.06919694774382434,0.07155368765883056,0.094725088470419,0.7553826427005719,0.7029568492534168,0.3345568497856031,1.1461065984620071,-0.20683165742434628,2022-10-14,0.8997975708502024,0.5521255060728745,0.043192699659820706,-0.05715676033360806,-0.6908415954768499,9.546862072016046,0.008719342834264685,0.014111461230112464,1.0381091948014012,1.8618678415558283,0.0,0.0,M0_equal_weight,16,12,0.9515137125266739,1.1640206498660683,-0.1381874499830984
M1_inverse_vol,2011-01-03,2026-09-21,3952,0.04932256095002652,0.050046917070296834,0.05992428206717956,0.8351692393108778,0.7860160689625546,0.2852715948067275,1.1627343126186505,-0.17289685285155265,2022-10-20,0.8856275303643725,0.5541497975708503,0.028990289766679583,-0.037636846617919856,-0.5022930726965533,8.807265163395925,0.005626310047607662,0.008881313844670825,0.9839454935672497,1.131035134578346,0.0,0.0,M1_inverse_vol,16,13,1.0722397024312742,1.254230908135698,-0.120484603720586
M2_risk_parity,2011-01-03,2026-09-21,3952,0.050389901178301555,0.05115145012306616,0.06132586620996079,0.8340925825318053,0.7829280181890169,0.297870380405953,1.1622259095692027,-0.16916720994423018,2022-10-20,0.888663967611336,0.5521255060728745,0.02844411044258511,-0.03873597772774742,-0.5957732768164766,9.29295380580146,0.005748676427660853,0.009065108465083504,0.9800264882654495,1.165356087709914,0.0,0.0,M2_risk_parity,16,13,1.0567327099978496,1.2399914021997902,-0.11553680563685842
M3_momentum,2011-01-03,2026-09-21,3952,0.022592101274568455,0.024344742863135073,0.06255483099095978,0.38917446466529976,0.38112693068607784,0.1484234328020703,1.0707320943382785,-0.15221384418925343,2026-06-26,0.9562246963562753,0.5245445344129555,0.025723132869191027,-0.031031399985779248,-0.09145289126994592,4.9330557736313985,0.006136039752218975,0.009137550009037697,0.9863222895058918,0.42061469978354626,0.0,0.0,M3_momentum,16,10,0.3864810529315776,0.853012672889915,-0.046789749669882585
M5_momentum_plus_mr,2011-01-03,2026-09-21,3952,0.0127089406008285,0.01454549169887395,0.061474384014904286,0.23661061321651372,0.2330312245231622,0.10256479295058674,1.0429595974981332,-0.12391133677763444,2020-03-23,0.9681174089068826,0.5111336032388664,0.03547107133882642,-0.037626415020098905,-0.17634030006438972,7.366068606605609,0.0057764779177532635,0.008994705951289435,1.0272927409983295,0.21953039148726705,0.0,0.0,M5_momentum_plus_mr,16,11,0.24555689287802906,0.8736421544746534,-0.05858057170490316
M9_mean_cvar,2011-01-03,2026-09-21,3952,0.03131459647088408,0.031623854714365476,0.03802989181007018,0.8315525816455673,0.7890302297388732,0.22066281776076563,1.1664070842538747,-0.14191152269628948,2022-10-20,0.8846153846153846,0.5528846153846154,0.01998183100695336,-0.024842422093683758,-0.37659471705885,10.651043153970086,0.0035747928688186882,0.005703028221405311,0.96653162555724,0.6234752740758738,0.0,0.0,M9_mean_cvar,16,11,1.1863856032521423,1.3614508731268644,-0.10272775741001272
