,gross_n_obs,gross_cagr,gross_ann_return_arith,gross_ann_vol,gross_sharpe,gross_sortino,gross_calmar,gross_omega,gross_max_drawdown,gross_time_underwater_share,gross_hit_rate,gross_best_day,gross_worst_day,gross_skew,gross_excess_kurtosis,gross_var_95,gross_cvar_95,gross_tail_ratio,gross_total_return,gross_tracking_error,gross_information_ratio,gross_beta_to_benchmark,gross_alpha_ann,start,end,n_obs,cagr,ann_return_arith,ann_vol,sharpe,sortino,calmar,omega,max_drawdown,max_drawdown_date,time_underwater_share,hit_rate,best_day,worst_day,skew,excess_kurtosis,var_95,cvar_95,tail_ratio,total_return,ann_turnover,ann_cost_drag,tracking_error,information_ratio,beta_to_benchmark,alpha_ann,name,cost_of_trading_sharpe
M0_equal_weight,5191,0.07339092508951639,0.07695196084690387,0.10943977744993387,0.7031443469638595,0.6645420111431917,0.22245994854911036,1.1391846493884945,-0.32990623960930465,0.8979002119052206,0.5503756501637449,0.06916253170888643,-0.05715676033360806,-0.3009754803024304,9.676997636508663,0.010154180899134793,0.01648113632805107,0.9657842334376671,3.312163733778087,0.11475623889179355,-0.41363265557541523,0.48389150722359014,0.016746717274730396,2006-02-01,2026-09-21,5191,0.07313658157080538,0.07671461462410183,0.1094407488549593,0.700969386875915,0.6625631660885295,0.22159204451943704,1.1387250095212977,-0.3300505743760588,2008-11-20,0.8979002119052206,0.5501830090541322,0.06916253170888643,-0.05715676033360806,-0.30110219188904913,9.677505216512442,0.010154180899134793,0.016482227894033766,0.9653140383824265,3.291128066275302,0.35844093563367535,0.00023734622280204844,0.11475566305546661,-0.4157030057540928,0.48389616683937225,0.01650879130771105,M0_equal_weight,0.0021749600879444886
M1_inverse_vol,5191,0.055094428449027344,0.0557837247912407,0.0640835634009662,0.8704841277662104,0.8272704183329594,0.31384779312097366,1.1730357367077895,-0.17554505609600068,0.8730495087651705,0.5538431901367752,0.03769916333397509,-0.037636846617919856,-0.24937407199124315,8.804822427177784,0.005995057285446747,0.009468936021822643,0.9735109381758863,2.02427175201945,0.14861910137738607,-0.4618192631782797,0.25699422292201946,0.02380878917718714,2006-02-01,2026-09-21,5191,0.054746434018491774,0.055453106817520754,0.06408204031044074,0.8653455250313856,0.822930115231808,0.31129424286787294,1.1719222743490108,-0.17586715871815395,2008-11-20,0.873434790984396,0.5532652668079369,0.03769916333397509,-0.037636846617919856,-0.24951864903947638,8.803771007363622,0.005995057285446747,0.009469929903853064,0.9735109381758863,2.0037551989915,0.5023239676097707,0.00033061797371994296,0.1486169822057174,-0.4640504795782973,0.25700009755135766,0.023477440288613507,M1_inverse_vol,0.005138602734824804
M2_risk_parity,5191,0.051900787389906,0.05282545016045718,0.06530430054796889,0.8089122725027054,0.7514929127652099,0.2830587137297735,1.1645854557907616,-0.18335696755639863,0.8381814679252553,0.5220574070506646,0.04278043891521912,-0.03873597772774745,-0.2545735155767539,10.153780172731546,0.0060885603055657106,0.009736219354163474,0.9900625255762948,1.8408844866283824,0.14839651140921645,-0.48244691093634146,0.2600223293526625,0.020473760909487455,2006-02-01,2026-09-21,5191,0.05161976145157787,0.05255781286800942,0.06530546339996506,0.8047996313282044,0.7477175798036937,0.28114392043718234,1.1636752932012535,-0.18360618067539392,2008-11-20,0.8391446734733192,0.5220574070506646,0.04278043891521912,-0.03873597772774745,-0.25467353232993806,10.153853626000013,0.0060885603055657106,0.009737306732238696,0.9900625255762948,1.8252639916534585,0.418972129229541,0.00026763729244776147,0.14839617568101854,-0.4842515346892837,0.26002572857411455,0.02020570068968425,M2_risk_parity,0.004112641174500942
M6_combined_alpha_mvo,5191,0.043084631013926566,0.04507774610572554,0.07503530942417026,0.6007537844737023,0.5527715351573684,0.20442087033287248,1.1275872379006169,-0.21076434585064097,0.8715083798882681,0.5193604315160856,0.06537691792143357,-0.0593140251053083,-0.3598562718553368,26.93488627787099,0.006538583131676815,0.011012069997356839,1.0053931996215466,1.3879606417244625,0.16053850003950937,-0.4942187858881912,0.22778398454517343,0.016737115888701134,2006-02-01,2026-09-21,5191,0.03605512553509582,0.038304120439233924,0.07505074884486729,0.5103762591151486,0.46977914883864086,0.16988247913198734,1.107381169200677,-0.21223569210503102,2008-10-27,0.8822962820265845,0.5164708148718936,0.06537691792143357,-0.0593140251053083,-0.35476475051618495,26.908108236239375,0.006570775490374603,0.011038111712227914,0.9909882570297068,1.0769602288791962,10.916369983026586,0.006773625666491624,0.16050988247486458,-0.5365075777051586,0.2279394686006926,0.009944145068813807,M6_combined_alpha_mvo,0.0903775253585537
M7_combined_alpha_shrinkage_mvo,5191,0.04265094860211094,0.04467152242633615,0.07517072482032282,0.5942675494098596,0.5475617370954132,0.20245044879232504,1.1263982196617692,-0.21067351965152992,0.8728568676555577,0.5172413793103449,0.06532766870553953,-0.06004829912357566,-0.38439611299027404,27.356737464469955,0.0065565550760148935,0.011038937948593924,1.0032071910771434,1.3675566117233533,0.16077352862726246,-0.49602298922052906,0.22703828339461024,0.01642367151775487,2006-02-01,2026-09-21,5191,0.035676162860296845,0.03794807197271746,0.07518688726207347,0.5047166248609898,0.4651228478227469,0.1681700950793542,1.1063640864065405,-0.21214332336235153,2008-10-27,0.8838374109034868,0.5145444037757657,0.06532766870553953,-0.06004829912357566,-0.3792466948253856,27.328058456267303,0.006575283631678741,0.011063216573408013,0.9953082979564478,1.0613398621610641,10.822939780406967,0.006723450453618682,0.16074727096067523,-0.537930231686482,0.2271852217062579,0.009681939162695944,M7_combined_alpha_shrinkage_mvo,0.08955092454886981
M8_black_litterman,5191,0.05078862710000198,0.05596523077225521,0.11223687336340059,0.49863497703692233,0.4514983105637781,0.17362177216351402,1.113227707146405,-0.29252452884866376,0.8751685609709112,0.5149296859949913,0.08394163335485194,-0.11708722009071958,-1.0031763714985964,41.378035139054234,0.009402876471775228,0.016803553502459684,0.9660219948368568,1.779543224301317,0.1423340743223284,-0.4809365447959319,0.3964525772219935,0.006639041698560267,2006-02-01,2026-09-21,5191,0.04306225106723538,0.0485715495258315,0.11224211738136812,0.4327390703152777,0.39221721994075676,0.14675764694996954,1.0975292475048133,-0.29342424031856773,2008-10-27,0.8849932575611635,0.512425351570025,0.08394163335485194,-0.11708722009071958,-0.9990117976591365,41.349032012426186,0.00941822142935626,0.0168324081983484,0.9644480706469978,1.3869036210583703,11.877533819319112,0.007393681246423698,0.1422901717841029,-0.5330469294310429,0.39663736146838374,-0.0007776301984455463,M8_black_litterman,0.06589590672164464
M9_mean_cvar,5191,0.03384438026494796,0.03421556509335405,0.041744860630221536,0.8196353892863021,0.771037700591527,0.23884814379491395,1.1752681478787257,-0.14169831813308253,0.8374109034868041,0.5205162781737622,0.04053765335375012,-0.03206072361596362,0.09176075756566421,23.617365547834215,0.0037281357973983974,0.0061679372767659635,0.98776210767385,0.9873990740769947,0.18146812389103945,-0.4970753080820449,0.0785049087651199,0.024448071588593315,2006-02-01,2026-09-21,5191,0.03343373369876934,0.03381739500653534,0.04174144883456092,0.8101634215086313,0.7620142680110504,0.23559562369239018,1.1730820326362121,-0.14191152269629048,2022-10-20,0.8383741090348681,0.5205162781737622,0.04053765335375012,-0.03206072361596362,0.09214273401079383,23.62491201991785,0.0037281357973983974,0.006168908911052103,0.98776210767385,0.9711729905073427,0.580291616186968,0.00039817008681870895,0.18146712492571115,-0.49927221646410175,0.07850595914290871,0.024049770814937425,M9_mean_cvar,0.009471967777670787
SPY_buy_hold,5210,0.11139421399845673,0.12428616591907914,0.1920803751643711,0.6470529111197453,0.611100543889999,0.2018397250925785,1.1357136303599513,-0.5518944001105985,0.8758157389635317,0.5506717850287908,0.14519729746661536,-0.1094237581228229,-0.002705516124894475,15.060837778641634,0.017799582884507493,0.029449604034476475,0.9293442122159846,7.9127855206366515,0.0,,0.9999999999999997,5.4643789493269423e-17,2006-01-04,2026-09-21,5210,0.11139421399845673,0.12428616591907914,0.1920803751643711,0.6470529111197453,0.611100543889999,0.2018397250925785,1.1357136303599513,-0.5518944001105985,2009-03-09,0.8758157389635317,0.5506717850287908,0.14519729746661536,-0.1094237581228229,-0.002705516124894475,15.060837778641634,0.017799582884507493,0.029449604034476475,0.9293442122159846,7.9127855206366515,0.04836852207293666,0.0,0.0,,0.9999999999999997,5.4643789493269423e-17,buy_hold_SPY,0.0
