horizon,n_obs,n_independent,mean_ic,median_ic,std_ic,ic_ir,t_stat_naive,t_stat_overlap_adjusted,p_value,hit_rate,ic_skew,breadth_per_year,implied_information_ratio
1,5201.000000,5201.000000,0.020570,0.025000,0.420378,0.048932,3.528862,3.528862,0.000417,0.518554,-0.026716,3780.000000,1.264670
5,5197.000000,1039.400000,0.017628,0.025000,0.423349,0.041640,3.001814,1.342452,0.179449,0.518761,-0.017969,756.000000,0.484693
10,5192.000000,519.200000,0.010931,0.007143,0.420338,0.026006,1.873842,0.592561,0.553475,0.505586,0.023752,378.000000,0.212525
21,5181.000000,246.714286,0.014017,0.000000,0.419488,0.033416,2.405221,0.524862,0.599679,0.499710,0.042273,180.000000,0.188063
42,5160.000000,122.857143,0.009972,0.014286,0.435158,0.022915,1.646055,0.253992,0.799502,0.507752,0.018689,90.000000,0.094599
63,5139.000000,81.571429,-0.004832,-0.017857,0.427045,-0.011315,-0.811120,-0.102192,0.918605,0.483946,0.072692,60.000000,-0.037428
