horizon,n_obs,n_independent,mean_ic,median_ic,std_ic,ic_ir,t_stat_naive,t_stat_overlap_adjusted,p_value,hit_rate,ic_skew,breadth_per_year,implied_information_ratio
1,5206.000000,5206.000000,0.027901,0.032143,0.417990,0.066752,4.816296,4.816296,0.000001,0.527852,-0.043041,3780.000000,1.715429
5,5202.000000,1040.400000,0.025946,0.025000,0.422684,0.061384,4.427313,1.979954,0.047709,0.517109,-0.046108,756.000000,0.713397
10,5197.000000,519.700000,0.016057,0.017857,0.419558,0.038271,2.758975,0.872465,0.382955,0.513758,-0.031282,378.000000,0.312183
21,5186.000000,246.952381,0.012878,0.007143,0.423621,0.030400,2.189249,0.477733,0.632840,0.505785,0.027435,180.000000,0.172780
42,5165.000000,122.976190,0.003856,0.003571,0.427454,0.009022,0.648389,0.100049,0.920306,0.503195,-0.008614,90.000000,0.036586
63,5144.000000,81.650794,-0.000142,-0.007143,0.419284,-0.000338,-0.024261,-0.003057,0.997561,0.495140,0.035329,60.000000,-0.001099
