horizon,n_obs,n_independent,mean_ic,median_ic,std_ic,ic_ir,t_stat_naive,t_stat_overlap_adjusted,p_value,hit_rate,ic_skew,breadth_per_year,implied_information_ratio
1,4571.000000,4571.000000,0.004788,0.003571,0.252308,0.018978,1.283086,1.283086,0.199462,0.506235,-0.007291,3780.000000,0.294393
5,4567.000000,913.400000,0.008359,0.010714,0.254988,0.032782,2.215386,0.990751,0.321807,0.512809,-0.005492,756.000000,0.229834
10,4562.000000,456.200000,0.012343,0.017857,0.255349,0.048339,3.264971,1.032474,0.301850,0.526523,-0.009727,378.000000,0.239984
21,4551.000000,216.714286,0.019039,0.017857,0.252920,0.075277,5.078259,1.108167,0.267790,0.522303,0.064386,180.000000,0.255435
42,4530.000000,107.857143,0.016040,0.017857,0.251484,0.063781,4.292791,0.662392,0.507720,0.523841,-0.066896,90.000000,0.152168
63,4509.000000,71.571429,0.019195,0.025000,0.244333,0.078561,5.275281,0.664623,0.506292,0.531603,0.006619,60.000000,0.148683
