feature,horizon,mean_ic,std_ic,ic_ir,t_stat_overlap_adjusted,p_value,hit_rate,ts_ic_mean,ts_ic_share_positive,n_obs,n_independent,median_ic,t_stat_naive,ic_skew,breadth_per_year,implied_information_ratio,n_assets_evaluated,p_rank,bh_threshold,significant_raw,significant_bh
vol_scaled_252,21,0.043461,0.459513,0.094580,0.982033,0.326084,0.534452,-0.004693,0.333333,2264,107.809524,0.062500,4.500240,-0.095888,180.000000,0.583084,15,32,0.044444,False,False
vol_scaled_252,10,0.029406,0.452523,0.064983,0.977770,0.328188,0.521201,0.000888,0.333333,2264,226.400000,0.032143,3.091979,-0.058992,378.000000,0.571722,15,33,0.045833,False,False
raw_21,1,0.009290,0.477042,0.019474,0.963932,0.335080,0.511837,-0.007099,0.333333,2450,2450.000000,0.020604,0.963932,-0.094781,3780.000000,0.571170,15,34,0.047222,False,False
ranked_21,1,0.009290,0.477042,0.019474,0.963932,0.335080,0.511837,-0.003466,0.400000,2450,2450.000000,0.020604,0.963932,-0.094781,3780.000000,0.571170,15,35,0.048611,False,False
vol_scaled_63,1,0.007793,0.438625,0.017766,0.879381,0.379194,0.516327,-0.001744,0.333333,2450,2450.000000,0.017857,0.879381,-0.057272,3780.000000,0.479108,15,36,0.050000,False,False
raw_126,42,0.049469,0.455646,0.108570,0.819001,0.412786,0.555649,0.012467,0.600000,2390,56.904762,0.078571,5.307730,-0.159370,90.000000,0.469309,15,37,0.051389,False,False
ranked_126,42,0.049469,0.455646,0.108570,0.819001,0.412786,0.555649,0.015448,0.533333,2390,56.904762,0.078571,5.307730,-0.159370,90.000000,0.469309,15,38,0.052778,False,False
raw_63,42,0.048131,0.456822,0.105360,0.804698,0.420994,0.541633,0.044551,0.600000,2450,58.333333,0.057143,5.215040,-0.137952,90.000000,0.456607,15,39,0.054167,False,False
ranked_63,42,0.048131,0.456822,0.105360,0.804698,0.420994,0.541633,0.038385,0.666667,2450,58.333333,0.057143,5.215040,-0.137952,90.000000,0.456607,15,40,0.055556,False,False
ranked_63,63,0.058663,0.469573,0.124929,0.779067,0.435940,0.548163,0.045543,0.800000,2450,38.888889,0.071429,6.183652,-0.141598,60.000000,0.454402,15,41,0.056944,False,False
raw_63,63,0.058663,0.469573,0.124929,0.779067,0.435940,0.548163,0.053947,0.666667,2450,38.888889,0.071429,6.183652,-0.141598,60.000000,0.454402,15,42,0.058333,False,False
vol_scaled_126,5,0.013981,0.446709,0.031297,0.684262,0.493810,0.519665,-0.002983,0.400000,2390,478.000000,0.033929,1.530056,-0.099311,756.000000,0.384409,15,43,0.059722,False,False
vol_scaled_63,5,0.011092,0.445345,0.024907,0.551345,0.581397,0.508163,-0.005157,0.333333,2450,490.000000,0.017857,1.232845,-0.056478,756.000000,0.304988,15,44,0.061111,False,False
ranked_21,5,0.011471,0.470535,0.024379,0.539660,0.589432,0.522449,-0.009643,0.400000,2450,490.000000,0.032143,1.206717,-0.110217,756.000000,0.315410,15,45,0.062500,False,False
raw_21,5,0.011471,0.470535,0.024379,0.539660,0.589432,0.522449,-0.014709,0.133333,2450,490.000000,0.032143,1.206717,-0.110217,756.000000,0.315410,15,46,0.063889,False,False
vol_scaled_21,21,-0.019633,0.437797,-0.044844,-0.484376,0.628119,0.499592,-0.036988,0.266667,2450,116.666667,0.000000,-2.219688,0.001284,180.000000,-0.263401,15,47,0.065278,False,False
vol_scaled_252,42,0.030262,0.465016,0.065077,0.477794,0.632797,0.512809,-0.026660,0.266667,2264,53.904762,0.017857,3.096456,-0.021307,90.000000,0.287088,15,48,0.066667,False,False
vol_scaled_63,21,0.019414,0.447508,0.043383,0.468595,0.639359,0.534286,0.013691,0.400000,2450,116.666667,0.050000,2.147370,-0.131482,180.000000,0.260472,15,49,0.068056,False,False
ranked_126,63,0.033196,0.442539,0.075013,0.462027,0.644062,0.544351,-0.011292,0.466667,2390,37.936508,0.053571,3.667229,-0.092120,60.000000,0.257138,15,50,0.069444,False,False
raw_126,63,0.033196,0.442539,0.075013,0.462027,0.644062,0.544351,0.000965,0.600000,2390,37.936508,0.053571,3.667229,-0.092120,60.000000,0.257138,15,51,0.070833,False,False
ranked_21,63,0.032080,0.461491,0.069513,0.433490,0.664659,0.520000,0.021466,0.600000,2450,38.888889,0.025000,3.440720,-0.015801,60.000000,0.248488,15,52,0.072222,False,False
raw_21,63,0.032080,0.461491,0.069513,0.433490,0.664659,0.520000,0.033322,0.600000,2450,38.888889,0.025000,3.440720,-0.015801,60.000000,0.248488,15,53,0.073611,False,False
vol_scaled_21,42,-0.023452,0.458809,-0.051116,-0.390402,0.696239,0.468980,-0.011813,0.266667,2450,58.333333,-0.046429,-2.530097,0.084374,90.000000,-0.222488,15,54,0.075000,False,False
vol_scaled_252,63,0.027449,0.468920,0.058537,0.350913,0.725654,0.541961,-0.039106,0.266667,2264,35.936508,0.071978,2.785284,-0.143367,60.000000,0.212621,15,55,0.076389,False,False
vol_scaled_21,10,-0.008575,0.431166,-0.019888,-0.311300,0.755573,0.498367,-0.025309,0.266667,2450,245.000000,-0.001786,-0.984417,-0.036655,378.000000,-0.166720,15,56,0.077778,False,False
raw_21,10,0.008552,0.456892,0.018717,0.292973,0.769543,0.526531,-0.011452,0.266667,2450,245.000000,0.028571,0.926461,-0.151607,378.000000,0.166266,15,57,0.079167,False,False
ranked_21,10,0.008552,0.456892,0.018717,0.292973,0.769543,0.526531,-0.007219,0.533333,2450,245.000000,0.028571,0.926461,-0.151607,378.000000,0.166266,15,58,0.080556,False,False
vol_scaled_126,21,0.012164,0.454621,0.026756,0.285433,0.775312,0.540586,-0.004753,0.400000,2390,113.809524,0.075000,1.308019,-0.138203,180.000000,0.163193,15,59,0.081944,False,False
vol_scaled_63,10,0.007263,0.442665,0.016408,0.256827,0.797313,0.515510,0.000685,0.333333,2450,245.000000,0.025000,0.812157,-0.066780,378.000000,0.141214,15,60,0.083333,False,False
vol_scaled_63,63,0.017408,0.455470,0.038219,0.238337,0.811620,0.512245,0.035436,0.666667,2450,38.888889,0.017857,1.891738,-0.039501,60.000000,0.134838,15,61,0.084722,False,False
vol_scaled_126,10,0.003627,0.446228,0.008128,0.125649,0.900010,0.506276,-0.008305,0.400000,2390,239.000000,0.017857,0.397336,-0.047507,378.000000,0.070512,15,62,0.086111,False,False
vol_scaled_21,63,0.007376,0.445037,0.016573,0.103353,0.917683,0.500408,0.021562,0.400000,2450,38.888889,0.003571,0.820339,-0.011810,60.000000,0.057132,15,63,0.087500,False,False
vol_scaled_63,42,0.005644,0.450385,0.012532,0.095718,0.923745,0.507755,0.028676,0.666667,2450,58.333333,0.014286,0.620322,-0.029198,90.000000,0.053547,15,64,0.088889,False,False
vol_scaled_126,63,-0.004398,0.450701,-0.009758,-0.060105,0.952072,0.519247,-0.014575,0.466667,2390,37.936508,0.033929,-0.477068,-0.105010,60.000000,-0.034068,15,65,0.090278,False,False
vol_scaled_21,1,-0.000480,0.449005,-0.001069,-0.052926,0.957791,0.507755,-0.013008,0.266667,2450,2450.000000,0.014286,-0.052926,-0.066557,3780.000000,-0.029518,15,66,0.091667,False,False
vol_scaled_126,42,0.001052,0.453690,0.002319,0.017492,0.986044,0.520084,-0.001469,0.400000,2390,56.904762,0.028571,0.113359,-0.129782,90.000000,0.009980,15,67,0.093056,False,False
ranked_21,21,0.000720,0.464868,0.001549,0.016727,0.986655,0.515102,-0.005089,0.466667,2450,116.666667,0.028571,0.076652,-0.073805,180.000000,0.009658,15,68,0.094444,False,False
raw_21,21,0.000720,0.464868,0.001549,0.016727,0.986655,0.515102,-0.022190,0.266667,2450,116.666667,0.028571,0.076652,-0.073805,180.000000,0.009658,15,69,0.095833,False,False
ranked_21,42,-0.000947,0.472832,-0.002002,-0.015289,0.987802,0.493878,0.006878,0.400000,2450,58.333333,-0.006319,-0.099084,0.045325,90.000000,-0.008979,15,70,0.097222,False,False
raw_21,42,-0.000947,0.472832,-0.002002,-0.015289,0.987802,0.493878,-0.004807,0.266667,2450,58.333333,-0.006319,-0.099084,0.045325,90.000000,-0.008979,15,71,0.098611,False,False
vol_scaled_21,5,-0.000084,0.443466,-0.000189,-0.004181,0.996664,0.514694,-0.025327,0.200000,2450,490.000000,0.025000,-0.009349,-0.064406,756.000000,-0.002303,15,72,0.100000,False,False
