,is_sharpe,oos_sharpe,sharpe_decay,sharpe_retention,is_ann_return,oos_ann_return,is_n_obs,oos_n_obs,oos_window,all_folds_oos_sharpe
M0_equal_weight,0.5290350243085411,0.898843606893181,-0.3698085825846399,1.6990247631864956,0.06350359031978536,0.08863684505073223,2497,2695,2015-12-31 to 2026-09-21,0.7553826427005719
M1_inverse_vol,0.7867635358074335,0.9385996730469366,-0.15183613723950307,1.1929882745311498,0.05131649166269626,0.059137154470260314,2497,2695,2015-12-31 to 2026-09-21,0.8351692393108778
M2_risk_parity,0.6618855440821727,0.9342210036082944,-0.2723354595261217,1.4114540073597852,0.043118633216085916,0.061145643122772556,2497,2695,2015-12-31 to 2026-09-21,0.8340925825318053
M3_momentum,0.36859414491432335,0.21447669020267193,0.15411745471165142,0.5818776374012269,0.02696672286795799,0.01284956180439331,2497,2695,2015-12-31 to 2026-09-21,0.38917446466529976
M5_momentum_plus_mr,-0.020319699580251996,0.14653059679392907,-0.16685029637418108,-7.211258031409924,-0.0014527757015556108,0.00915269061988676,2497,2695,2015-12-31 to 2026-09-21,0.23661061321651372
M9_mean_cvar,0.8739266954923269,0.7511067876891495,0.12281990780317742,0.859462002434899,0.03683624542239829,0.031064691170984687,2497,2695,2015-12-31 to 2026-09-21,0.8315525816455673
