cost_bps,net_ann_return,net_vol,net_sharpe,annual_cost_drag,cost_share_of_gross
0.000000,0.025429,0.066561,0.382043,0.000000,0.000000
5.000000,0.020975,0.066598,0.314955,0.004454,0.175156
10.000000,0.016521,0.066666,0.247821,0.008908,0.350311
25.000000,0.003159,0.067059,0.047106,0.022270,0.875778
50.000000,-0.019112,0.068331,-0.279691,0.044541,1.751555
