,gross_n_obs,gross_cagr,gross_ann_return_arith,gross_ann_vol,gross_sharpe,gross_sortino,gross_calmar,gross_omega,gross_max_drawdown,gross_time_underwater_share,gross_hit_rate,gross_best_day,gross_worst_day,gross_skew,gross_excess_kurtosis,gross_var_95,gross_cvar_95,gross_tail_ratio,gross_total_return,gross_tracking_error,gross_information_ratio,gross_beta_to_benchmark,gross_alpha_ann,start,end,n_obs,cagr,ann_return_arith,ann_vol,sharpe,sortino,calmar,omega,max_drawdown,max_drawdown_date,time_underwater_share,hit_rate,best_day,worst_day,skew,excess_kurtosis,var_95,cvar_95,tail_ratio,total_return,ann_turnover,ann_cost_drag,tracking_error,information_ratio,beta_to_benchmark,alpha_ann,name,cost_of_trading_sharpe,cvar_95_daily
M0_equal_weight,5191,0.07339092508951639,0.07695196084690387,0.10943977744993387,0.7031443469638595,0.6645420111431917,0.22245994854911036,1.1391846493884945,-0.32990623960930465,0.8979002119052206,0.5503756501637449,0.06916253170888643,-0.05715676033360806,-0.3009754803024304,9.676997636508663,0.010154180899134793,0.01648113632805107,0.9657842334376671,3.312163733778087,0.11475623889179355,-0.41363265557541523,0.48389150722359014,0.016746717274730396,2006-02-01,2026-09-21,5191,0.07313658157080538,0.07671461462410183,0.1094407488549593,0.700969386875915,0.6625631660885295,0.22159204451943704,1.1387250095212977,-0.3300505743760588,2008-11-20,0.8979002119052206,0.5501830090541322,0.06916253170888643,-0.05715676033360806,-0.30110219188904913,9.677505216512442,0.010154180899134793,0.016482227894033766,0.9653140383824265,3.291128066275302,0.35844093563367535,0.00023734622280204844,0.11475566305546661,-0.4157030057540928,0.48389616683937225,0.01650879130771105,M0_equal_weight,0.0021749600879444886,0.016482227894033766
M1_inverse_vol,5191,0.055094428449027344,0.0557837247912407,0.0640835634009662,0.8704841277662104,0.8272704183329594,0.31384779312097366,1.1730357367077895,-0.17554505609600068,0.8730495087651705,0.5538431901367752,0.03769916333397509,-0.037636846617919856,-0.24937407199124315,8.804822427177784,0.005995057285446747,0.009468936021822643,0.9735109381758863,2.02427175201945,0.14861910137738607,-0.4618192631782797,0.25699422292201946,0.02380878917718714,2006-02-01,2026-09-21,5191,0.054746434018491774,0.055453106817520754,0.06408204031044074,0.8653455250313856,0.822930115231808,0.31129424286787294,1.1719222743490108,-0.17586715871815395,2008-11-20,0.873434790984396,0.5532652668079369,0.03769916333397509,-0.037636846617919856,-0.24951864903947638,8.803771007363622,0.005995057285446747,0.009469929903853064,0.9735109381758863,2.0037551989915,0.5023239676097707,0.00033061797371994296,0.1486169822057174,-0.4640504795782973,0.25700009755135766,0.023477440288613507,M1_inverse_vol,0.005138602734824804,0.009469929903853064
M2_risk_parity,5191,0.05190078738990578,0.05282545016045712,0.06530430054796882,0.8089122725027054,0.75149291276521,0.2830587137297726,1.1645854557907616,-0.1833569675563984,0.8381814679252553,0.5220574070506646,0.042780438915219106,-0.03873597772774742,-0.254573515576753,10.153780172731551,0.006088560305565701,0.009736219354163463,0.9900625255762954,1.8408844866283776,0.1483965114092165,-0.48244691093634157,0.26002232935266223,0.020473760909487434,2006-02-01,2026-09-21,5191,0.05161976145157765,0.052557812868009354,0.065305463399965,0.8047996313282041,0.7477175798036937,0.2811439204371816,1.1636752932012535,-0.18360618067539358,2008-11-20,0.8391446734733192,0.5220574070506646,0.042780438915219106,-0.03873597772774742,-0.2546735323299373,10.15385362600002,0.006088560305565701,0.009737306732238686,0.9900625255762954,1.8252639916534568,0.41897212922954086,0.0002676372924477613,0.1483961756810186,-0.4842515346892837,0.2600257285741142,0.02020570068968423,M2_risk_parity,0.004112641174501275,0.009737306732238686
M3_momentum,5191,0.023442410416102843,0.02542927765707921,0.06656123211811446,0.38204337341523914,0.37151566771714306,0.18157897836318626,1.0712394103745422,-0.12910310779045342,0.9354652282797149,0.5045270660759006,0.03149696293519035,-0.03877883541740643,-0.18873235357072438,6.0414892858511315,0.0065242378684717585,0.009825619707144195,1.001307411441229,0.6130962632435628,0.21308915156750782,-0.4645455214322515,-0.05378367540772378,0.032120982780625695,2006-02-01,2026-09-21,5191,0.017631141949733697,0.019728056837998192,0.06661340620533956,0.29615745481000255,0.2877152830848936,0.1158313952560858,1.0547911928468303,-0.15221384418925366,2026-06-26,0.9425929493353882,0.5024080138701599,0.03149696293519035,-0.03877883541740643,-0.188507527576818,6.059595355316699,0.00655400845394091,0.009849470732336888,0.9967591249868112,0.43426385191734074,9.162967491099396,0.005701220819081015,0.2130957392335329,-0.4912854298359935,-0.053727715335375875,0.026412799471532494,M3_momentum,0.08588591860523659,0.009849470732336888
M4_mean_reversion,5191,-0.004720124182544083,-0.002407262063176072,0.06828121260657413,-0.0352551158844578,-0.03489543338756986,-0.01865485800106653,0.9935047519615862,-0.2530238601802397,0.9959545366981314,0.5002889616644192,0.035693176071121935,-0.049970589097055124,-0.18608979838407996,10.237183013073,0.006341600085612622,0.009978624090106709,1.0134141768729472,-0.09301667705021688,0.18359853254869193,-0.6907797627037344,0.10745257536420712,-0.015776392076177537,2006-02-01,2026-09-21,5191,-0.0184666641841974,-0.01633182380520515,0.06838422120539385,-0.23882444688741983,-0.23618819554181994,-0.05369366869833799,0.956865236736015,-0.34392628836645334,2025-04-08,0.9965324600269697,0.4935465228279715,0.035693176071121935,-0.049970589097055124,-0.17273544201006102,10.164532765254085,0.006368466374631719,0.010024125524260349,1.0059586872413995,-0.3192943996438615,22.3820412392202,0.013924561742029079,0.183556736219987,-0.7667967702372036,0.10785022267159713,-0.029750428654280094,M4_mean_reversion,0.20356933100296204,0.010024125524260349
M5_momentum_plus_mr,5191,0.01354056441710405,0.015709936473132947,0.06687541096073668,0.2349134943238918,0.23116291255863222,0.0747619770754416,1.0433889892057373,-0.1811156545985989,0.9657098824889231,0.5120400693507995,0.03547107133882642,-0.037626415020098905,-0.0957711181498416,6.869956967435108,0.006470272363478833,0.0098830062840584,0.9876013128905973,0.31987523017747455,0.19333520052250766,-0.5622822533953126,0.055284972812739114,0.008831441594870941,2006-02-01,2026-09-21,5191,0.0018719795220918378,0.004115563595772004,0.06695947729560868,0.061463496460745386,0.06057357030286186,0.009154278706301599,1.0111750869950282,-0.20449230159479515,2008-10-27,0.9849739934502023,0.5043344249662878,0.03547107133882642,-0.037626415020098905,-0.08843826536096987,6.843070332833488,0.00648999574515587,0.009921542800313031,0.9811405932564081,0.03934689055401819,18.410597149621125,0.011594372877360941,0.19332312672393578,-0.6222914305518324,0.055500118291049186,-0.002789699443806633,M5_momentum_plus_mr,0.1734499978631464,0.009921542800313031
M6_combined_alpha_mvo,5191,0.043084631013926344,0.04507774610572554,0.07503530942417025,0.6007537844737024,0.5527715351573685,0.20442087033287154,1.127587237900617,-0.21076434585064086,0.8715083798882681,0.5193604315160856,0.06537691792143363,-0.0593140251053083,-0.3598562718553342,26.93488627787103,0.006538583131676814,0.011012069997356839,1.005393199621545,1.3879606417244559,0.1605385000395094,-0.4942187858881911,0.22778398454517343,0.016737115888701134,2006-02-01,2026-09-21,5191,0.036055125535096044,0.03830412043923392,0.07505074884486729,0.5103762591151485,0.46977914883864086,0.16988247913198856,1.107381169200677,-0.2122356921050308,2008-10-27,0.8822962820265845,0.5164708148718936,0.06537691792143363,-0.0593140251053083,-0.35476475051618256,26.90810823623941,0.006570775490374601,0.01103811171222791,0.9909882570297067,1.076960228879206,10.916369983026584,0.0067736256664916224,0.16050988247486458,-0.5365075777051586,0.2279394686006926,0.009944145068813802,M6_combined_alpha_mvo,0.09037752535855392,0.01103811171222791
M7_combined_alpha_shrinkage_mvo,5191,0.042650948602110716,0.04467152242633613,0.07517072482032279,0.5942675494098596,0.5475617370954131,0.20245044879232407,1.1263982196617695,-0.2106735196515298,0.8728568676555577,0.5172413793103449,0.06532766870553951,-0.06004829912357566,-0.3843961129902751,27.35673746446997,0.006556555076014891,0.011038937948593923,1.0032071910771434,1.367556611723351,0.1607735286272625,-0.49602298922052906,0.22703828339461019,0.016423671517754857,2006-02-01,2026-09-21,5191,0.03567616286029707,0.037948071972717455,0.07518688726207345,0.5047166248609898,0.4651228478227469,0.16817009507935546,1.106364086406541,-0.2121433233623513,2008-10-27,0.8838374109034868,0.5145444037757657,0.06532766870553951,-0.06004829912357566,-0.3792466948253862,27.328058456267318,0.00657528363167874,0.011063216573408008,0.9953082979564477,1.061339862161066,10.822939780406966,0.006723450453618682,0.16074727096067523,-0.537930231686482,0.22718522170625788,0.009681939162695934,M7_combined_alpha_shrinkage_mvo,0.08955092454886981,0.011063216573408008
M8_black_litterman,5191,0.05078862710000176,0.055965230772255174,0.11223687336340053,0.49863497703692233,0.45149831056377815,0.17362177216351332,1.1132277071464047,-0.29252452884866365,0.8751685609709112,0.5149296859949913,0.08394163335485176,-0.11708722009071942,-1.0031763714985946,41.37803513905414,0.009402876471775219,0.016803553502459677,0.9660219948368578,1.7795432243013143,0.14233407432232842,-0.480936544795932,0.3964525772219931,0.00663904169856028,2006-02-01,2026-09-21,5191,0.04306225106723538,0.04857154952583148,0.11224211738136806,0.4327390703152777,0.3922172199407568,0.1467576469499696,1.0975292475048133,-0.2934242403185676,2008-10-27,0.8849932575611635,0.512425351570025,0.08394163335485176,-0.11708722009071942,-0.9990117976591345,41.349032012426115,0.009418221429356255,0.01683240819834839,0.9644480706469984,1.3869036210583698,11.877533819319108,0.007393681246423697,0.14229017178410291,-0.5330469294310431,0.39663736146838346,-0.0007776301984455258,M8_black_litterman,0.06589590672164464,0.01683240819834839
M9_mean_cvar,5191,0.03384438026494796,0.03421556509335404,0.04174486063022153,0.8196353892863021,0.7710377005915271,0.2388481437949143,1.1752681478787257,-0.1416983181330823,0.8374109034868041,0.5205162781737622,0.0405376533537501,-0.0320607236159636,0.09176075756566442,23.617365547834194,0.003728135797398397,0.006167937276765962,0.9877621076738498,0.9873990740769991,0.18146812389103947,-0.49707530808204503,0.0785049087651198,0.02444807158859332,2006-02-01,2026-09-21,5191,0.03343373369876934,0.033817395006535335,0.04174144883456091,0.8101634215086314,0.7620142680110505,0.23559562369239,1.1730820326362126,-0.1419115226962906,2022-10-20,0.8383741090348681,0.5205162781737622,0.0405376533537501,-0.0320607236159636,0.09214273401079398,23.62491201991785,0.003728135797398397,0.006168908911052102,0.9877621076738498,0.9711729905073445,0.580291616186967,0.00039817008681870846,0.18146712492571115,-0.49927221646410175,0.07850595914290862,0.024049770814937428,M9_mean_cvar,0.009471967777670676,0.006168908911052102
