estimator,ticker,n_obs,corr,rmse,mae,mean_bias,mean_ratio,qlike,r2
garch_11,HYG,4121.000000,0.632901,0.043929,0.029266,0.015138,1.452134,0.495091,0.216597
ewma_hl11,HYG,4842.000000,0.699469,0.057449,0.029768,0.002245,1.150785,0.818094,0.416284
ewma_hl40,HYG,4842.000000,0.622122,0.062334,0.035205,0.008410,1.319446,0.874945,0.312780
rolling_63,HYG,4835.000000,0.624410,0.063645,0.033658,0.004020,1.212197,0.922378,0.284477
rolling_252,HYG,4721.000000,0.436650,0.075065,0.044885,0.013165,1.498098,1.146933,0.023952
parkinson_21,HYG,4863.000000,0.691597,0.056676,0.028802,-0.013882,0.906352,1.264709,0.430454
garch_11,GLD,4439.000000,0.541887,0.059228,0.043195,0.015046,1.184174,0.226031,0.188281
ewma_hl40,GLD,5160.000000,0.614186,0.062424,0.043034,0.005852,1.115072,0.236432,0.340498
ewma_hl11,GLD,5160.000000,0.648699,0.062596,0.042464,0.001877,1.071092,0.254817,0.336865
rolling_252,GLD,5039.000000,0.439105,0.071094,0.050027,0.007309,1.151181,0.284084,0.112963
rolling_63,GLD,5153.000000,0.594470,0.065850,0.044547,0.003552,1.093145,0.284154,0.267095
parkinson_21,GLD,5181.000000,0.647103,0.080240,0.058645,-0.054631,0.709073,0.988974,-0.091049
garch_11,SLV,4359.000000,0.600400,0.121138,0.080072,0.024284,1.185037,0.230494,0.299537
ewma_hl11,SLV,5080.000000,0.644906,0.125110,0.080783,0.005122,1.077169,0.253919,0.319023
ewma_hl40,SLV,5080.000000,0.594471,0.127123,0.082714,0.013070,1.125688,0.255829,0.296930
rolling_63,SLV,5073.000000,0.576423,0.134063,0.084808,0.008553,1.099294,0.293382,0.217893
rolling_252,SLV,4959.000000,0.401124,0.146379,0.095951,0.011464,1.162965,0.372533,0.081622
parkinson_21,SLV,5101.000000,0.614786,0.152818,0.104368,-0.094103,0.725379,0.919580,-0.003047
ewma_hl40,DBC,5137.000000,0.668806,0.057874,0.042718,0.005400,1.107118,0.202342,0.423199
garch_11,DBC,4416.000000,0.559688,0.057939,0.042566,0.011036,1.144031,0.214132,0.202393
ewma_hl11,DBC,5137.000000,0.680412,0.059227,0.042575,0.001828,1.068039,0.224417,0.395915
rolling_63,DBC,5130.000000,0.650345,0.060485,0.044317,0.003018,1.087409,0.236806,0.370834
rolling_252,DBC,5016.000000,0.542617,0.066799,0.049652,0.006255,1.134041,0.250067,0.246634
parkinson_21,DBC,5158.000000,0.657828,0.072920,0.052740,-0.043958,0.787648,0.654108,0.080874
garch_11,VNQ,4439.000000,0.797958,0.099869,0.060599,0.024349,1.222588,0.342280,0.562873
ewma_hl11,VNQ,5160.000000,0.826196,0.110958,0.062848,0.003543,1.085418,0.385293,0.659223
rolling_63,VNQ,5153.000000,0.767975,0.127713,0.070369,0.006705,1.117536,0.447280,0.549067
ewma_hl40,VNQ,5160.000000,0.754142,0.129059,0.074039,0.013429,1.173118,0.448985,0.538970
parkinson_21,VNQ,5181.000000,0.832654,0.111085,0.059730,-0.032438,0.938728,0.578490,0.657531
rolling_252,VNQ,5039.000000,0.564319,0.170385,0.098560,0.019734,1.270994,0.643795,0.213328
